fileName,modelAtmosphere,pathType,surfaceAlbedo,surfaceTemperature,albedoFilename,targetLabel,backgroundLabel,visibility,groundAltitude,sensorAltitude,targetAltitude,sensorZenith,sensorAzimuth,dZenith,dAzimuth,dayNumber,extraterrestrialSource,latitude,longitude,timeUTC,startingWavelength,endingWavelength,wavelengthIncrement,fwhm,key
tape5,2,2,,303.15,spec_alb.dat,green felt,"constant, 18%",0.0,0.168,0.28231,100.0,0.0,0.0,2.5,5,312,0,43.041,77.698,15.0,0.3,1.2,0.001,0.001,0
Target Norm Blue,Target Norm Green,Target Norm Red,Target Norm RE,Target Norm IR,radianceType,Downwelling Norm Blue,Downwelling Norm Green,Downwelling Norm Red,Downwelling Norm RE,Downwelling Norm IR,radianceType
0.00109421756734,0.0010423389106,0.000501105216304,0.00043621860611,0.00181081157716,Target,0.0,0.0,0.0,0.0,0.0,Downwelling
wavelengths,tgtSolScat,groundReflect,directReflect,estDownwell,totalRadiance,sumSolScat,Norm Blue,Norm Green,Norm Red,Norm RE,Norm IR
0.382,8.454e-05,0.00027298,5.8353e-05,0.000214627,0.00035752,0.0,0.0,0.0,0.0,0.0,0.0
0.383,5.8426e-05,0.00019157,4.1393e-05,0.000150177,0.00025,0.0,0.0,0.0,0.0,0.0,0.0
0.384,6.4108e-05,0.00021378,4.6693e-05,0.000167087,0.00027788,0.0,0.0,0.0,0.0,0.0,0.0
0.385,9.6375e-05,0.00032661,7.2043e-05,0.000254567,0.00042299,0.0,0.0,0.0,0.0,0.0,0.0
0.386,7.4885e-05,0.00025693,5.7263e-05,0.000199667,0.00033181,0.0,0.0,0.0,0.0,0.0,0.0
0.387,8.4269e-05,0.00029287,6.5888e-05,0.000226982,0.00037714,0.0,0.0,0.0,0.0,0.0,0.0
0.388,8.4121e-05,0.00029694,6.7485e-05,0.000229455,0.00038106,0.0,0.0,0.0,0.0,0.0,0.0
0.389,9.4066e-05,0.00033661,7.7317e-05,0.000259293,0.00043068,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.00011578,0.00042075,9.7533e-05,0.000323217,0.00053653,0.0,0.0,0.0,0.0,0.0,0.0
0.391,0.00012761,0.00047214,0.00011055,0.00036159,0.00059974,0.0,679000.0,632000.0,374000.0,0.0,555000.0
0.392,0.00011274,0.00042158,9.9582e-05,0.000321998,0.00053432,0.0,1358000.0,1264000.0,748000.0,0.0,1110000.0
0.393,6.0393e-05,0.00022867,5.4455e-05,0.000174215,0.00028907,0.0,2037000.0,1896000.0,1122000.0,0.0,1665000.0
0.394,6.5736e-05,0.00025348,6.1083e-05,0.000192397,0.00031922,0.0,2716000.0,2528000.0,1496000.0,0.0,2220000.0
0.395,0.00011183,0.00043404,0.00010545,0.00032859,0.00054587,0.0,3395000.0,3160000.0,1870000.0,0.0,2775000.0
0.396,0.00011276,0.00044179,0.00010824,0.00033355,0.00055455,0.0,4074000.0,3792000.0,2244000.0,0.0,3330000.0
0.397,4.6122e-05,0.00018258,4.5161e-05,0.000137419,0.0002287,0.0,4753000.0,4424000.0,2618000.0,0.0,3885000.0
0.398,0.00012624,0.00050187,0.00012525,0.00037662,0.00062811,0.0,5432000.0,5056000.0,2992000.0,0.0,4440000.0
0.399,0.00015214,0.00060779,0.00015298,0.00045481,0.00075992,0.0,6111000.0,5688000.0,3366000.0,0.0,4995000.0
0.4,0.00015027,0.00060321,0.00015316,0.00045005,0.00075348,0.0,6790000.0,6320000.0,3740000.0,0.0,5550000.0
0.401,0.00014706,0.0005926,0.00015172,0.00044088,0.00073967,0.0,6111000.0,5813000.0,3445100.0,449000.0,5059900.0
0.402,0.00015373,0.00062406,0.0001611,0.00046296,0.00077779,0.0,5432000.0,5306000.0,3150200.0,898000.0,4569800.0
0.403,0.000145,0.00059132,0.00015389,0.00043743,0.00073633,0.0,4753000.0,4799000.0,2855300.0,1347000.0,4079700.0
0.404,0.00015359,0.00062597,0.00016427,0.0004617,0.00077957,0.0,4074000.0,4292000.0,2560400.0,1796000.0,3589600.0
0.405,0.00014099,0.00057707,0.00015273,0.00042434,0.00071806,0.0,3395000.0,3785000.0,2265500.0,2245000.0,3099500.0
0.406,0.00013938,0.00057243,0.00015264,0.00041979,0.0007118,0.0,2716000.0,3278000.0,1970600.0,2694000.0,2609400.0
0.407,0.00013456,0.00055358,0.00014878,0.0004048,0.00068814,0.0,2037000.0,2771000.0,1675700.0,3143000.0,2119300.0
0.408,0.00014447,0.00059545,0.00016131,0.00043414,0.00073992,0.0,1358000.0,2264000.0,1380800.0,3592000.0,1629200.0
0.409,0.00015796,0.00065225,0.00017808,0.00047417,0.00081021,0.0,679000.0,1757000.0,1085900.0,4041000.0,1139100.0
0.41,0.0001321,0.00054619,0.00015019,0.000396,0.00067829,0.0,3.7692071686e-08,1250000.0,791000.0,4490000.0,649000.0
0.411,0.00015438,0.00063733,0.00017664,0.00046069,0.00079171,0.0,554000.0,1365000.0,1349900.0,4852000.0,628800.0
0.412,0.0001602,0.00066142,0.00018464,0.00047678,0.00082161,0.0,1108000.0,1480000.0,1908800.0,5214000.0,608600.0
0.413,0.00014791,0.00061118,0.00017189,0.00043929,0.00075908,0.0,1662000.0,1595000.0,2467700.0,5576000.0,588400.0
